产品网址：https://www.iscsemi.com/supply/4.html
产品结构：首页->产品

|产品名称|产品型号|功能描述|
|----|----|----|
|MOSFET 单管|无|无|

可国产化替代之型号,封装
IPB45N06S4L-08,D²PAK/TO-263
IPB45P03P4L-11,D²PAK/TO-263
IPB47N10S-33,D²PAK/TO-263
IPB47N10SL-26,D²PAK/TO-263
IPB50CN10N,D²PAK/TO-263
IPB50N10S3L-16,D²PAK/TO-263
IPB50N12S3L-15,D²PAK/TO-263
IPB50R140CP,D²PAK/TO-263
IPB50R199CP,D²PAK/TO-263
IPB50R250CP,D²PAK/TO-263
IPB50R299CP,D²PAK/TO-263
IPB530N15N3,D²PAK/TO-263
IPB600N25N3,D²PAK/TO-263
IPB60R040C7,D²PAK/TO-263
IPB60R040CFD7,D²PAK/TO-263
IPB60R045P7,D²PAK/TO-263
IPB60R055CFD7,D²PAK/TO-263
IPB60R060C7,D²PAK/TO-263
IPB60R060P7,D²PAK/TO-263
IPB60R070CFD7,D²PAK/TO-263
IPB60R080P7,D²PAK/TO-263
IPB60R090CFD7,D²PAK/TO-263
IPB60R099C7,D²PAK/TO-263
IPB60R099CPA,D²PAK/TO-263
IPB60R099P7,D²PAK/TO-263
IPB60R105CFD7,D²PAK/TO-263
IPB60R120C7,D²PAK/TO-263
IPB60R120P7,D²PAK/TO-263
IPB60R125C6,D²PAK/TO-263
IPB60R125CFD7,D²PAK/TO-263
IPB60R125CP,D²PAK/TO-263
IPB60R145CFD7,D²PAK/TO-263
IPB60R160C6,D²PAK/TO-263
IPB60R160P6,D²PAK/TO-263
IPB60R165CP,D²PAK/TO-263
IPB60R170CFD7,D²PAK/TO-263
IPB60R180C7,D²PAK/TO-263
IPB60R180P7,D²PAK/TO-263
IPB60R190C6,D²PAK/TO-263
IPB60R190P6,D²PAK/TO-263
IPB60R199CP,D²PAK/TO-263
IPB60R210CFD7,D²PAK/TO-263
IPB60R230P6,D²PAK/TO-263
IPB60R250CP,D²PAK/TO-263
IPB60R280C6,D²PAK/TO-263
IPB60R280CFD7,D²PAK/TO-263
IPB60R280P6,D²PAK/TO-263
IPB60R280P7,D²PAK/TO-263
IPB60R299CP,D²PAK/TO-263
IPB60R299CPA,D²PAK/TO-263
IPB60R330P6,D²PAK/TO-263
IPB60R360CFD7,D²PAK/TO-263
IPB60R360P7,D²PAK/TO-263
IPB60R380C6,D²PAK/TO-263
IPB60R380P6,D²PAK/TO-263
IPB60R385CP,D²PAK/TO-263
IPB60R520CP,D²PAK/TO-263
IPB60R600C6,D²PAK/TO-263
IPB60R600CP,D²PAK/TO-263
IPB60R600P6,D²PAK/TO-263
IPB60R950C6,D²PAK/TO-263
IPB64N25S3-20,D²PAK/TO-263
IPB65R041CFD7,D²PAK/TO-263
IPB65R045C7,D²PAK/TO-263
IPB65R050CFD7A,D²PAK/TO-263
IPB65R065C7,D²PAK/TO-263
IPB65R075CFD7A,D²PAK/TO-263
IPB65R090CFD7,D²PAK/TO-263
IPB65R095C7,D²PAK/TO-263
IPB65R099CFD7A,D²PAK/TO-263
IPB65R110CFD,D²PAK/TO-263
IPB65R110CFD7,D²PAK/TO-263
IPB65R110CFDA,D²PAK/TO-263
IPB65R115CFD7A,D²PAK/TO-263
IPB65R125C7,D²PAK/TO-263
IPB65R125CFD7,D²PAK/TO-263
IPB65R145CFD7A,D²PAK/TO-263
IPB65R150CFD,D²PAK/TO-263
IPB65R150CFDA,D²PAK/TO-263
IPB65R155CFD7,D²PAK/TO-263
IPB65R190C6,D²PAK/TO-263
IPB65R190C7,I²PAK/TO-262
IPB65R190CFD,D²PAK/TO-263
IPB65R190CFD7A,D²PAK/TO-263
IPB65R190CFDA,D²PAK/TO-263
IPB65R190E6,D²PAK/TO-263
IPB65R225C7,I²PAK/TO-262
IPB65R230CFD7A,D²PAK/TO-263
IPB65R280C6,D²PAK/TO-263
IPB65R280E6,D²PAK/TO-263
IPB65R310CFD,D²PAK/TO-263
IPB65R310CFDA,D²PAK/TO-263
IPB65R380C6,D²PAK/TO-263
IPB65R420CFD,D²PAK/TO-263
IPB65R600C6,D²PAK/TO-263
IPB65R660CFD,D²PAK/TO-263
IPB65R660CFDA,D²PAK/TO-263
IPB70N04S3-07,D²PAK/TO-263
IPB70N04S4-06,D²PAK/TO-263
IPB70N10S3-12,D²PAK/TO-263
IPB70N10S3L-12,D²PAK/TO-263
IPB70N10SL-16,D²PAK/TO-263
IPB70N12S3-11,D²PAK/TO-263
IPB70N12S3L-12,D²PAK/TO-263
IPB70P04P4-09,D²PAK/TO-263
IPB720P15LM,D²PAK/TO-263
IPB77N06S2-12,D²PAK/TO-263
IPB77N06S3-09,D²PAK/TO-263
IPB79CN10N,D²PAK/TO-263
IPB80CN10N,D²PAK/TO-263
IPB80N03S4L-02,D²PAK/TO-263
IPB80N03S4L-03,D²PAK/TO-263
IPB80N04S2-04,D²PAK/TO-263
IPB80N04S2-H4,D²PAK/TO-263
IPB80N04S2L-03,D²PAK/TO-263
IPB80N04S3-03,D²PAK/TO-263
IPB80N04S3-04,D²PAK/TO-263
IPB80N04S3-06,D²PAK/TO-263
IPB80N04S3-H4,D²PAK/TO-263
IPB80N04S4-03,D²PAK/TO-263
IPB80N04S4-04,D²PAK/TO-263
IPB80N04S4L-04,D²PAK/TO-263
IPB80N06S2-05,D²PAK/TO-263
IPB80N06S2-07,D²PAK/TO-263
IPB80N06S2-08,D²PAK/TO-263
IPB80N06S2-09,D²PAK/TO-263
IPB80N06S2-H5,D²PAK/TO-263
IPB80N06S2L-05,D²PAK/TO-263
IPB80N06S2L-06,D²PAK/TO-263
IPB80N06S2L-07,D²PAK/TO-263
IPB80N06S2L-09,D²PAK/TO-263
IPB80N06S2L-11,D²PAK/TO-263
IPB80N06S2L-H5,D²PAK/TO-263
IPB80N06S3-05,D²PAK/TO-263
IPB80N06S3-07,D²PAK/TO-263
IPB80N06S3L-05,D²PAK/TO-263
IPB80N06S3L-06,D²PAK/TO-263
IPB80N06S3L-08,D²PAK/TO-263
IPB80N06S4-05,D²PAK/TO-263
IPB80N06S4-07,D²PAK/TO-263
IPB80N06S4L-05,D²PAK/TO-263
IPB80N06S4L-07,D²PAK/TO-263
IPB80N07S4-05,D²PAK/TO-263
IPB80N08S2-07,D²PAK/TO-263
IPB80N08S2L-07,D²PAK/TO-263
IPB80N08S4-06,D²PAK/TO-263
IPB80P03P4-05,D²PAK/TO-263
IPB80P03P4L-04,D²PAK/TO-263
IPB80P03P4L-07,D²PAK/TO-263
IPB80P04P4-05,D²PAK/TO-263
IPB80P04P4-07,D²PAK/TO-263
IPB80P04P4L-04,D²PAK/TO-263
IPB80P04P4L-06,D²PAK/TO-263
IPB80P04P4L-08,D²PAK/TO-263
IPB80R290C3A,D²PAK/TO-263
IPB90N04S4-02,D²PAK/TO-263
IPB90N06S4-04,D²PAK/TO-263
IPB90N06S4L-04,D²PAK/TO-263
IPB90R340C3,D²PAK/TO-263
IPB95R130PFD7,D²PAK/TO-263
IPB95R310PFD7,D²PAK/TO-263
IPB95R450PFD7,D²PAK/TO-263
IPD023N04NF2S,DPAK/TO-252
IPD025N06N,DPAK/TO-252
IPD028N06NF2S,DPAK/TO-252
IPD029N04NF2S,DPAK/TO-252
IPD031N03L,DPAK/TO-252
IPD031N06L3,DPAK/TO-252
IPD033N06N,DPAK/TO-252
IPD034N06N3,DPAK/TO-252
IPD035N06L3,DPAK/TO-252
IPD036N04L,DPAK/TO-252
IPD038N04N,DPAK/TO-252
IPD038N06N3,DPAK/TO-252
IPD038N06NF2S,DPAK/TO-252
IPD03N03LA,DPAK/TO-252
IPD03N03LB,DPAK/TO-252
IPD040N03L,DPAK/TO-252
IPD040N08NF2S,DPAK/TO-252
IPD042P03L3,DPAK/TO-252
IPD046N08N5,DPAK/TO-252
IPD048N06L3,DPAK/TO-252
IPD04N03L,DPAK/TO-252
IPD04N03LA,DPAK/TO-252
IPD04N03LB,DPAK/TO-252
IPD050N03L,DPAK/TO-252
IPD050N10N5,DPAK/TO-252
IPD052N10NF2S,DPAK/TO-252
IPD053N06N,DPAK/TO-252
IPD053N08N3,DPAK/TO-252
IPD055N08NF2S,DPAK/TO-252
IPD05N03LA,DPAK/TO-252
IPD05N03LB,DPAK/TO-252
IPD060N03L,DPAK/TO-252
IPD068N10N3,DPAK/TO-252
IPD068P03L3,DPAK/TO-252
IPD06N03L,DPAK/TO-252
IPD06N03LA,DPAK/TO-252
IPD06N03LZ,DPAK/TO-252
IPD075N03L,DPAK/TO-252
IPD079N06L3,DPAK/TO-252
IPD07N03L,DPAK/TO-252
IPD082N10N3,DPAK/TO-252
IPD088N04L,DPAK/TO-252
IPD088N06N3,DPAK/TO-252
IPD090N03L,DPAK/TO-252
IPD096N08N3,DPAK/TO-252
IPD09N03L,DPAK/TO-252
IPD09N03LA,DPAK/TO-252
IPD09N03LB,DPAK/TO-252
IPD100N04S4-02,DPAK/TO-252
IPD100N06S4-03,DPAK/TO-252
IPD105N03L,DPAK/TO-252
IPD105N04L,DPAK/TO-252
IPD10N03LA,DPAK/TO-252
IPD110N12N3,DPAK/TO-252
IPD11DP10NM,DPAK/TO-252
IPD122N10N3,DPAK/TO-252
IPD127N06L,DPAK/TO-252
IPD12CN10N,DPAK/TO-252
IPD12CNE8N,DPAK/TO-252
IPD12N03L,DPAK/TO-252
IPD12N03LB,DPAK/TO-252
IPD130N10NF2S,DPAK/TO-252
IPD135N03L,DPAK/TO-252
IPD135N08N3,DPAK/TO-252
IPD13N03LA,DPAK/TO-252
IPD144N06N,DPAK/TO-252
IPD14N03L,DPAK/TO-252
IPD14N06S2-80,DPAK/TO-252
IPD15N06S2L-64,DPAK/TO-252
IPD160N04L,DPAK/TO-252
IPD16CN10N,DPAK/TO-252
IPD16CNE8N,DPAK/TO-252
IPD170N04N,DPAK/TO-252
IPD180N10N3,DPAK/TO-252
IPD18DP10LM,DPAK/TO-252
IPD200N15N3,DPAK/TO-252
IPD20N03L,DPAK/TO-252
IPD220N06L3,DPAK/TO-252
IPD22N08S2L-50,DPAK/TO-252
IPD230N06N,DPAK/TO-252
IPD250N06N3,DPAK/TO-252
IPD25CN10N,DPAK/TO-252
IPD25CNE8N,DPAK/TO-252
IPD25DP06NM,DPAK/TO-252
IPD25N06S2-40,DPAK/TO-252
IPD25N06S4L-30,DPAK/TO-252
IPD26N06S2L-35,DPAK/TO-252
IPD30N03S2L-07,DPAK/TO-252
IPD30N03S2L-10,DPAK/TO-252
IPD30N03S2L-20,DPAK/TO-252
IPD30N03S4L-09,DPAK/TO-252
IPD30N03S4L-14,DPAK/TO-252
IPD30N06S2-15,DPAK/TO-252
IPD30N06S2-23,DPAK/TO-252
IPD30N06S2L-13,DPAK/TO-252
IPD30N06S2L-23,DPAK/TO-252
IPD30N06S3-24,DPAK/TO-252
IPD30N06S3L-20,DPAK/TO-252
IPD30N06S4L-23,DPAK/TO-252
IPD30N08S2-22,DPAK/TO-252
IPD30N08S2L-21,DPAK/TO-252
IPD30N10S3L-34,DPAK/TO-252
IPD30N12S3L-31,DPAK/TO-252
IPD320N20N3,DPAK/TO-252
IPD33CN10N,DPAK/TO-252
IPD350N06L,DPAK/TO-252
IPD35N10S3L-26,DPAK/TO-252
IPD35N12S3L-24,DPAK/TO-252
IPD380P06NM,DPAK/TO-252
IPD400N06N,DPAK/TO-252
IPD40DP06NM,DPAK/TO-252
IPD40N03S4L-08,DPAK/TO-252
IPD42DP15LM,DPAK/TO-252
IPD49CN10N,DPAK/TO-252
IPD50N03S2-07,DPAK/TO-252
IPD50N03S2L-06,DPAK/TO-252
IPD50N03S4L-06,DPAK/TO-252
IPD50N04S3-08,DPAK/TO-252
IPD50N04S3-09,DPAK/TO-252
IPD50N04S4-08,DPAK/TO-252
IPD50N04S4-10,DPAK/TO-252
IPD50N04S4L-08,DPAK/TO-252
IPD50N06S2-14,DPAK/TO-252
IPD50N06S2L-13,DPAK/TO-252
IPD50N06S3-07,DPAK/TO-252
IPD50N06S3-09,DPAK/TO-252
IPD50N06S3-15,DPAK/TO-252
IPD50N06S3L-06,DPAK/TO-252
IPD50N06S3L-08,DPAK/TO-252
IPD50N06S3L-13,DPAK/TO-252
IPD50N06S4-09,DPAK/TO-252
IPD50N06S4L-08,DPAK/TO-252
IPD50N08S4-13,DPAK/TO-252
IPD50N08S4L-12,DPAK/TO-252
IPD50N10S3L-16,DPAK/TO-252
IPD50N12S3L-15,DPAK/TO-252
IPD50P03P4L-11,DPAK/TO-252
IPD50P04P4-13,DPAK/TO-252
IPD50P04P4L-11,DPAK/TO-252
IPD50R1K4CE,DPAK/TO-252
IPD50R280CE,DPAK/TO-252
IPD50R2K0CE,DPAK/TO-252
IPD50R380CE,DPAK/TO-252
IPD50R399CP,DPAK/TO-252
IPD50R3K0CE,DPAK/TO-252
IPD50R500CE,DPAK/TO-252
IPD50R520CP,DPAK/TO-252
IPD50R650CE,DPAK/TO-252
IPD50R800CE,DPAK/TO-252
IPD50R950CE,DPAK/TO-252
IPD530N15N3,DPAK/TO-252
IPD5N25S3-430,DPAK/TO-252
IPD600N25N3,DPAK/TO-252
IPD60N10S4L-12,DPAK/TO-252
IPD60R170CFD7,DPAK/TO-252
IPD60R180C7,DPAK/TO-252
IPD60R180P7,DPAK/TO-252
IPD60R1K0CE,DPAK/TO-252
IPD60R1K4C6,DPAK/TO-252
IPD60R1K5CE,DPAK/TO-252
IPD60R280CFD7,DPAK/TO-252
IPD60R280P7,DPAK/TO-252
IPD60R280P7S,DPAK/TO-252
IPD60R2K0C6,DPAK/TO-252
IPD60R2K1CE,DPAK/TO-252
IPD60R360P7,DPAK/TO-252
IPD60R360P7S,DPAK/TO-252
IPD60R380C6,DPAK/TO-252
IPD60R380E6,DPAK/TO-252
IPD60R380P6,DPAK/TO-252
IPD60R385CP,DPAK/TO-252
IPD60R3K3C6,DPAK/TO-252
IPD60R3K4CE,DPAK/TO-252
IPD60R400CE,DPAK/TO-252
IPD60R450E6,DPAK/TO-252
IPD60R460CE,DPAK/TO-252
IPD60R520C6,DPAK/TO-252
IPD60R520CP,DPAK/TO-252
IPD60R600C6,DPAK/TO-252
IPD60R600CP,DPAK/TO-252
IPD60R600E6,DPAK/TO-252
IPD60R600P6,DPAK/TO-252
IPD60R600P7,DPAK/TO-252
IPD60R600P7S,DPAK/TO-252
IPD60R650CE,DPAK/TO-252
IPD60R750E6,DPAK/TO-252
IPD60R800CE,DPAK/TO-252
IPD60R950C6,DPAK/TO-252
IPD640N06L,DPAK/TO-252
IPD64CN10N,DPAK/TO-252
IPD650P06NM,DPAK/TO-252
IPD65R190C7,DPAK/TO-252
IPD65R1K0CE,DPAK/TO-252
IPD65R1K4C6,DPAK/TO-252
IPD65R1K4CFD,DPAK/TO-252
IPD65R1K5CE,DPAK/TO-252
IPD65R225C7,DPAK/TO-252
IPD65R250C6,DPAK/TO-252
IPD65R250E6,DPAK/TO-252
IPD65R380C6,DPAK/TO-252
IPD65R380E6,DPAK/TO-252
IPD65R400CE,DPAK/TO-252
IPD65R420CFD,DPAK/TO-252
IPD65R420CFDA,DPAK/TO-252
IPD65R600C6,DPAK/TO-252
IPD65R600E6,DPAK/TO-252
IPD65R650CE,DPAK/TO-252
IPD65R660CFD,DPAK/TO-252
IPD65R660CFDA,DPAK/TO-252
IPD65R950C6,DPAK/TO-252
IPD65R950CFD,DPAK/TO-252
IPD70N03S4L-04,DPAK/TO-252
IPD70N04S3-07,DPAK/TO-252
IPD70N10S3-12,DPAK/TO-252
IPD70N10S3L-12,DPAK/TO-252
IPD70N12S3-11,DPAK/TO-252
IPD70N12S3L-12,DPAK/TO-252
IPD70P04P4-09,DPAK/TO-252
IPD70P04P4L-08,DPAK/TO-252
IPD70R1K4CE,DPAK/TO-252
IPD70R2K0CE,DPAK/TO-252
IPD70R360P7S,DPAK/TO-252
IPD70R600CE,DPAK/TO-252
IPD70R600P7S,DPAK/TO-252
IPD70R900P7S,DPAK/TO-252
IPD70R950CE,DPAK/TO-252
IPD75N04S4-06,DPAK/TO-252
IPD78CN10N,DPAK/TO-252
IPD800N06N,DPAK/TO-252
IPD80N04S3-06,DPAK/TO-252
IPD80N06S3-09,DPAK/TO-252
IPD80P03P4L-07,DPAK/TO-252
IPD80R1K0CE,DPAK/TO-252
IPD80R1K2P7,DPAK/TO-252
IPD80R1K4CE,DPAK/TO-252
IPD80R1K4P7,DPAK/TO-252
IPD80R280P7,DPAK/TO-252
IPD80R2K0P7,DPAK/TO-252
IPD80R2K4P7,DPAK/TO-252
IPD80R2K7C3A,DPAK/TO-252
IPD80R2K8CE,DPAK/TO-252
IPD80R360P7,DPAK/TO-252
IPD80R3K3P7,DPAK/TO-252
IPD80R450P7,DPAK/TO-252
IPD80R4K5P7,DPAK/TO-252
IPD80R600P7,DPAK/TO-252
IPD80R750P7,DPAK/TO-252
IPD80R900P7,DPAK/TO-252
IPD85P04P4-07,DPAK/TO-252
IPD85P04P4L-06,DPAK/TO-252
IPD900P06NM,DPAK/TO-252
IPD90N03S4L-02,DPAK/TO-252
IPD90N03S4L-03,DPAK/TO-252
IPD90N04S3-04,DPAK/TO-252
IPD90N04S3-H4,DPAK/TO-252
IPD90N04S4-02,DPAK/TO-252
IPD90N04S4-03,DPAK/TO-252
IPD90N04S4-04,DPAK/TO-252
IPD90N04S4-05,DPAK/TO-252
IPD90N04S4L-04,DPAK/TO-252
IPD90N06S3-06,DPAK/TO-252
IPD90N06S3L-05,DPAK/TO-252
IPD90N06S3L-07,DPAK/TO-252
IPD90N06S4-04,DPAK/TO-252
IPD90N06S4-05,DPAK/TO-252
IPD90N06S4-07,DPAK/TO-252
IPD90N06S4L-03,DPAK/TO-252
IPD90N06S4L-05,DPAK/TO-252
IPD90N06S4L-06,DPAK/TO-252
IPD90N08S4-05,DPAK/TO-252
IPD90N10S4-06,DPAK/TO-252
IPD90N10S4L-06,DPAK/TO-252
IPD90P03P4-04,DPAK/TO-252
IPD90P03P4L-04,DPAK/TO-252
IPD90P04P4-05,DPAK/TO-252
IPD90P04P4L-04,DPAK/TO-252
IPD90R1K2C3,DPAK/TO-252
IPD95R1K2P7,DPAK/TO-252
IPD95R2K0P7,DPAK/TO-252
IPD95R450P7,DPAK/TO-252
IPD95R450PFD7,DPAK/TO-252
IPI020N06N,I²PAK/TO-262
IPI023NE7N3,I²PAK/TO-262
IPI024N06N3,I²PAK/TO-262
IPI028N08N3,I²PAK/TO-262
IPI029N06N,I²PAK/TO-262
IPI030N10N3,I²PAK/TO-262
IPI032N06N3,I²PAK/TO-262
IPI034NE7N3,I²PAK/TO-262
IPI037N06L3,I²PAK/TO-262
IPI037N08N3,I²PAK/TO-262
IPI03N03LA,I²PAK/TO-262
IPI040N06N3,I²PAK/TO-262
IPI041N12N3,I²PAK/TO-262
IPI045N10N3,I²PAK/TO-262
IPI04CN10N,I²PAK/TO-262
IPI04N03LA,I²PAK/TO-262
IPI051N15N5,I²PAK/TO-262
IPI052NE7N3,I²PAK/TO-262
IPI057N08N3,I²PAK/TO-262
IPI05CN10N,I²PAK/TO-262
IPI05CNE8N,I²PAK/TO-262
IPI05N03LA,I²PAK/TO-262
IPI06CN10N,I²PAK/TO-262
IPI06CNE8N,I²PAK/TO-262
IPI06N03LA,I²PAK/TO-262
IPI070N08N3,I²PAK/TO-262
IPI072N10N3,I²PAK/TO-262
IPI075N15N3,I²PAK/TO-262
IPI076N12N3,I²PAK/TO-262
IPI076N15N5,I²PAK/TO-262
IPI084N06L3,I²PAK/TO-262
IPI086N10N3,I²PAK/TO-262
IPI08CN10N,I²PAK/TO-262
IPI08CNE8N,I²PAK/TO-262
IPI09N03LA,I²PAK/TO-262
IPI100N04S3-03,I²PAK/TO-262
IPI100N04S4-02,I²PAK/TO-262
IPI100N04S4-H2,I²PAK/TO-262
IPI100N06S3-03,I²PAK/TO-262
IPI100N06S3-04,I²PAK/TO-262
IPI100N06S3L-03,I²PAK/TO-262
IPI100N06S3L-04,I²PAK/TO-262
IPI100N08N3,I²PAK/TO-262
IPI100N08S2-07,I²PAK/TO-262
IPI100N10S3-05,I²PAK/TO-262
IPI100N12S3-05,I²PAK/TO-262
IPI110N20N3,I²PAK/TO-262
IPI111N15N3,I²PAK/TO-262
IPI11N03LA,I²PAK/TO-262
IPI120N04S3-02,I²PAK/TO-262
IPI120N04S4-01,I²PAK/TO-262
IPI120N04S4-02,I²PAK/TO-262
IPI120N06S4-02,I²PAK/TO-262
IPI120N06S4-03,I²PAK/TO-262
IPI120N06S4-H1,I²PAK/TO-262
IPI120N08S4-03,I²PAK/TO-262
IPI120N08S4-04,I²PAK/TO-262
IPI120N10S4-03,I²PAK/TO-262
IPI120N10S4-05,I²PAK/TO-262
IPI126N10N3,I²PAK/TO-262
IPI12CN10N,I²PAK/TO-262
IPI12CNE8N,I²PAK/TO-262
IPI139N08N3,I²PAK/TO-262
IPI147N12N3,I²PAK/TO-262
IPI14N03LA,I²PAK/TO-262
IPI16CN10N,I²PAK/TO-262
IPI16CNE8N,I²PAK/TO-262
IPI180N10N3,I²PAK/TO-262
IPI200N15N3,I²PAK/TO-262
IPI200N25N3,I²PAK/TO-262
IPI22N03S4L-15,I²PAK/TO-262
IPI25N06S3-25,I²PAK/TO-262
IPI25N06S3L-22,I²PAK/TO-262
IPI26CN10N,I²PAK/TO-262
IPI26CNE8N,I²PAK/TO-262
IPI320N20N3,I²PAK/TO-262
IPI35CN10N,I²PAK/TO-262
IPI45N04S4L-08,I²PAK/TO-262
IPI45N06S3-16,I²PAK/TO-262
IPI45N06S3L-13,I²PAK/TO-262
IPI45N06S4-09,I²PAK/TO-262
IPI45N06S4L-08,I²PAK/TO-262
IPI45P03P4L-11,I²PAK/TO-262
IPI47N10S-33,I²PAK/TO-262
IPI47N10SL-26,I²PAK/TO-262
IPI50CN10N,I²PAK/TO-262
IPI50N10S3L-16,I²PAK/TO-262
IPI50N12S3L-15,I²PAK/TO-262
IPI50R140CP,I²PAK/TO-262
IPI50R199CP,I²PAK/TO-262
IPI50R250CP,I²PAK/TO-262
IPI50R299CP,I²PAK/TO-262
IPI50R350CP,I²PAK/TO-262
IPI50R399CP,I²PAK/TO-262
IPI530N15N3,I²PAK/TO-262
IPI600N25N3,I²PAK/TO-262
IPI60R099CP,I²PAK/TO-262
IPI60R125CP,I²PAK/TO-262
IPI60R165CP,I²PAK/TO-262
IPI60R190C6,I²PAK/TO-262
IPI60R199CP,I²PAK/TO-262
IPI60R250CP,I²PAK/TO-262
IPI60R280C6,I²PAK/TO-262
IPI60R299CP,I²PAK/TO-262
IPI60R380C6,I²PAK/TO-262
IPI60R385CP,I²PAK/TO-262
IPI60R520CP,I²PAK/TO-262
IPI60R600CP,I²PAK/TO-262
IPI65R150CFD,I²PAK/TO-262
IPI65R190C6,I²PAK/TO-262
IPI65R190CFD,I²PAK/TO-262
IPI65R190E6,I²PAK/TO-262
IPI65R280C6,I²PAK/TO-262
IPI65R280E6,I²PAK/TO-262
IPI65R310CFD,I²PAK/TO-262
IPI65R380C6,I²PAK/TO-262
IPI65R420CFD,I²PAK/TO-262
IPI65R600C6,I²PAK/TO-262
IPI65R660CFD,I²PAK/TO-262
IPI70N04S3-07,I²PAK/TO-262
IPI70N04S4-06,I²PAK/TO-262
IPI70N10S3-12,I²PAK/TO-262
IPI70N10S3L-12,I²PAK/TO-262
IPI70N10SL-16,I²PAK/TO-262
IPI70N12S3-11,I²PAK/TO-262
IPI70N12S3L-12,I²PAK/TO-262
IPI70P04P4-09,I²PAK/TO-262
IPI70R950CE,I²PAK/TO-262
IPI77N06S3-09,I²PAK/TO-262
IPI80CN10N,I²PAK/TO-262
IPI80N03S4L-03,I²PAK/TO-262
IPI80N03S4L-04,I²PAK/TO-262
IPI80N04S2-04,I²PAK/TO-262
IPI80N04S2-H4,I²PAK/TO-262
IPI80N04S3-03,I²PAK/TO-262
IPI80N04S3-04,I²PAK/TO-262
IPI80N04S3-06,I²PAK/TO-262
IPI80N04S3-H4,I²PAK/TO-262
IPI80N04S4-03,I²PAK/TO-262
IPI80N04S4-04,I²PAK/TO-262
IPI80N04S4L-04,I²PAK/TO-262
IPI80N06S2-07,I²PAK/TO-262
IPI80N06S2-08,I²PAK/TO-262
IPI80N06S2L-05,I²PAK/TO-262
IPI80N06S2L-11,I²PAK/TO-262
IPI80N06S3-05,I²PAK/TO-262
IPI80N06S3-07,I²PAK/TO-262
IPI80N06S3L-05,I²PAK/TO-262
IPI80N06S3L-06,I²PAK/TO-262
IPI80N06S3L-08,I²PAK/TO-262
IPI80N06S4-05,I²PAK/TO-262
IPI80N06S4-07,I²PAK/TO-262
IPI80N06S4L-05,I²PAK/TO-262
IPI80N06S4L-07,I²PAK/TO-262
IPI80N07S4-05,I²PAK/TO-262
IPI80N08S2-07,I²PAK/TO-262
IPI80N08S4-06,I²PAK/TO-262
IPI80P03P3L-04,I²PAK/TO-262
IPI80P03P4-05,I²PAK/TO-262
IPI80P03P4L-04,I²PAK/TO-262
IPI80P03P4L-07,I²PAK/TO-262
IPI90N04S4-02,I²PAK/TO-262
IPI90N06S4-04,I²PAK/TO-262
IPI90N06S4L-04,I²PAK/TO-262
IPI90R1K0C3,I²PAK/TO-262
IPI90R1K2C3,I²PAK/TO-262
IPI90R340C3,I²PAK/TO-262
IPI90R500C3,I²PAK/TO-262
IPI90R800C3,I²PAK/TO-262
IPL7833,TO-220
IPLU250N04S4-1R7,TOLL
IPLU300N04S41,TOLL
IPLU300N04S4-1R1,TOLL
IPLU300N04S4-R8,TOLL
IPP011N04NF2S,TO-220
IPP013N04NF2S,TO-220
IPP014N06NF2S,TO-220
IPP015N04N,TO-220
IPP015N04NF2S,TO-220
IPP016N06NF2S,TO-220
IPP016N08NF2S,TO-220
IPP018N10N5,TO-220
IPP019N06NF2S,TO-220
IPP019N08NF2S,TO-220
IPP020N06N,TO-220
IPP020N08N5,TO-220
IPP023N04N,TO-220
IPP023N08N5,TO-220
IPP023N10N5,TO-220
IPP023NE7N3,TO-220
IPP024N06N3,TO-220
IPP024N08NF2S,TO-220
IPP026N04NF2S,TO-220
IPP026N10NF,TO-220
IPP026N10NF2S,TO-220
IPP027N08N5,TO-220
IPP028N08N3,TO-220
IPP029N06N,TO-220
IPP030N06NF2S,TO-220
IPP030N10N3,TO-220
IPP030N10N5,TO-220
IPP032N06N3,TO-220
IPP033N04NF2S,TO-220
IPP034N03L,TO-220
IPP034N08N5,TO-220
IPP034NE7N3,TO-220
IPP037N06L3,TO-220
IPP037N08N3,TO-220
IPP039N04L,TO-220
IPP039N10N5,TO-220
IPP03N03LA,TO-220
IPP03N03LB,TO-220
IPP040N06N,TO-220
IPP040N06N3,TO-220
IPP040N06NF2S,TO-220
IPP040N08NF,TO-220
IPP040N08NF2S,TO-220
IPP041N04N,TO-220
IPP041N12N3,TO-220
IPP042N03L,TO-220
IPP045N10N3,TO-220
IPP048N04N,TO-220
IPP048N06L,TO-220
IPP048N12N3,TO-220
IPP04CN10N,TO-220
IPP04CNE8N,TO-220
IPP04N03L,TO-220
IPP04N03LA,TO-220
IPP04N03LB,TO-220
IPP050N06L,TO-220
IPP050N06N,TO-220
IPP050N10NF2S,TO-220
IPP051N15N5,TO-220
IPP052N06L3,TO-220
IPP052N08N5,TO-220
IPP052NE7N3,TO-220
IPP054NE8N,TO-220
IPP055N03L,TO-220
IPP055N08NF2S,TO-220
IPP057N06N3,TO-220
IPP057N08N3,TO-220
IPP05CN10N,TO-220
IPP05N03L,TO-220
IPP05N03LA,TO-220
IPP05N03LB,TO-220
IPP060N06N,TO-220
IPP062NE7N3,TO-220
IPP065N03L,TO-220
IPP065N06L,TO-220
IPP06CN10N,TO-220
IPP06CNE8N,TO-220
IPP06N03LA,TO-220
IPP070N06L,TO-220
